,match,team,alliance,leave,"ground pick-up","center line pick-up","auto scoring","teleop scoring","stage level",spotlight,"stage time","brick time","defense time","driver skill","defense skill",speed,stability,"intake consistency",scouter,comments,accuracy,timestamp
61,11,9140,red,false,true,false,"[]","[sm, ss, ss, sm, ss, sm, ss, ss, ss, ss]",0,false,0,0,0,3,2,3,4,4,"crescendohawk24 (4641)","",,1711132132108
62,11,9156,red,false,false,false,"[sm]","[as, as, am, ss, ss, as, as]",0,false,0,0,0,1,0,1,2,2,"crescendohawk24  (4641)","Slow on intake and shooting",,1711132118602
63,11,5417,blue,true,true,false,"[ss]","[as, as, ss, sm, as, as, ss, ss]",1,false,0,0,0,2,0,2,4,3,"crescendohawk24 (4641)","",,1711132113836
64,11,8816,blue,true,true,false,"[]","[sm]",2,false,0,0,0,0,0,2,4,3,"crescendohawk24 (4641)","Driver didn’t seem capable of scoring many shots.",,1711132146894
65,12,4639,red,true,false,false,"[sm]","[am, ss, sm, ss, ss, ss, sm]",1,false,0,0,0,2,2,3,2,3,"cresendohawk24 (4641)","",,1711132604050
66,12,8625,red,false,false,false,"[sm]","[]",0,false,0,0,0,2,2,2,2,0,"crescendohawk24  (4641)","Couldn't pick up a note \n\nSuddenly stopped near the end ",,1711132589786
67,12,8874,red,true,true,false,"[ss, ss]","[ss, ss, sm, ss, sm, ss]",0,false,0,0,0,3,2,3,4,3,"crescendohawk24 (4641)","",,1711132590791
68,12,6672,blue,false,true,false,"[]","[as, as, as, ss, as, as, ss, as, as, ss, ss, sa]",1,false,0,0,0,4,0,4,4,4,"crescendohawk24 (4641)","Super team/bot. Able to score amps and speakers easily.",,1711132623789
69,13,3282,red,false,false,false,"[]","[]",1,false,0,0,4000,1,2,1,4,0,"cresendohawk24 (4641)","Played defense as soon as tele started",,1711133225566
70,13,7321,red,false,false,false,"[sm]","[sm]",1,false,0,0,0,3,1,2,2,2,"crescendohawk24 (4641)","No ground pickup",,1711133227910
71,13,8769,red,true,true,false,"[sm]","[]",0,false,0,0,0,0,0,0,0,0,"crescendohawk24  (4641)","Didn't work after autonomous ",,1711133215426
72,13,2714,blue,false,true,false,"[]","[]",2,false,0,0,0,3,0,3,3,4,"crescendohawk24 (4641)","Made 1 in auto\n\nTypically brought middle notes to team\n6 speaker (2 shot from far) \nDidnt focus on defense",,1711133347253
73,13,5894,blue,true,true,false,"[]","[sm, ss]",2,false,0,0,0,2,0,2,4,2,"crescendohawk24 (4641)","",,1711133214707
74,13,7121,blue,true,true,false,"[ss, ss]","[ss, am, as, as, sm, as, ss, sa, sm]",1,false,0,0,0,3,0,3,4,4,"crescendohawk24 (4641)","",,1711133217140
75,14,3676,red,false,false,false,"[ss, ss]","[as, am]",1,false,0,0,0,2,2,2,2,2,"crescendohawk24  (4641)","Missed note got stuck on it's hook\n\nAttempted chain",,1711133669952
76,14,7119,red,false,false,false,"[]","[ss, ss, ss, ss, sm, ss]",1,false,0,1000,0,0,0,0,0,0,"cresendohawk24 (4641)","Slow bot but fast firing",,1711133652844
77,14,8858,red,true,true,false,"[sm, ss]","[ss, ss, ss, ss, sm]",1,false,0,0,0,3,2,0,3,3,"crescendohawk24 (4641)","",,1711133654109
78,14,148,blue,true,true,false,"[]","[]",2,false,0,0,0,0,0,0,0,0,"crescendohawk24 (4641)","4 auto attempted center pick up ( wouldve been 6)\n\n6 amp \n4 speaker\nAttempted trap ",,1711133703486
79,14,9034,blue,false,true,false,"[]","[ss, ss]",2,false,0,0,0,2,0,2,4,2,"crescendohawk24 (4641)","Intake wasn’t super effective at picking up rings, and driver seemed to spend more time looking for or trying to shoot rings.",,1711133686524
80,14,9506,blue,false,false,false,"[]","[sm, sm, sm, sm, sm]",1,false,0,0,0,0,0,1,2,0,"crescendohawk24 (4641)","if they increase their shooter speed they could score but it was always too low",,1711133669345
81,15,4597,red,true,false,false,"[]","[]",2,false,0,0,0,1,1,1,1,3,"crescendohawk24  (4641)","Played support, delivered notes\n\nNotes dropped into bit via player station",,1711134129148
82,15,4610,red,true,false,false,"[]","[as, as, as, as, as]",0,false,0,0,0,3,2,3,2,4,"cresendohawk24 (4641)","",,1711134090619
83,15,5431,red,true,true,false,"[]","[ss, ss, sm, sm, sm, sm, sm, ss, ss, ss]",1,false,0,0,0,3,2,2,4,3,"crescendohawk24 (4641)","",,1711134076332
84,15,1296,blue,true,true,false,"[ss, ss]","[ss, ss, ss, ss]",1,false,0,4000,0,0,0,0,0,0,"crescendohawk24 (4641)","Passed over stage for most of the match",,1711134083882
85,15,8827,blue,true,true,false,"[sm, sm, ss, ss, ss, ss, ss, ss]","[]",1,false,0,0,0,0,0,0,0,0,"amoon (4641)","Google eyes",,1711134170261
86,15,9418,blue,true,true,false,"[ss]","[ss, as, as, as, as, ss, ss, ss, ss]",0,false,0,0,0,4,0,4,4,4,"crescendohawk24 (4641)","Super team/bot.",,1711134088442
87,16,4364,red,false,false,false,"[]","[am, as, as]",1,false,0,0,0,1,0,1,1,2,"crescendohawk24  (4641)","Note was knocked out with speaker easily when hit once",,1711135054540
88,16,6901,red,true,false,false,"[]","[sm, sm, sm, sm, sm, ss]",1,false,0,0,0,2,1,2,2,2,"cresendohawk24 (4641)","",,1711135009069
89,16,8816,red,false,false,false,"[]","[]",0,false,0,117400,0,0,0,0,0,0,"crescendohawk24 (4641)","Robot gone",,1711135001427
90,16,2583,blue,false,false,false,"[]","[]",0,false,0,0,0,0,0,0,0,0,"crescendohawk24 (4641)","Bot was not on field.",,1711134891247
91,16,8749,blue,true,true,false,"[ss]","[as, ss, ss, ss, ss, as, as]",1,false,0,0,0,3,0,3,3,4,"crescendohawk24 (4641)","",,1711134986449
92,17,4641,red,true,true,false,"[ss, ss, ss, ss]","[ss, ss, sm, ss, ss, sm]",1,false,0,0,0,3,0,2,3,3,"crescendohawk24  (4641)","",,1711135746222
93,17,7506,red,false,false,false,"[]","[as]",1,false,0,0,1000,1,2,1,3,2,"cresendohawk24 (4641)","",,1711135741216
94,17,8625,red,false,false,false,"[ss]","[]",0,false,0,0,0,2,2,2,1,0,"crescendohawk24 (4641)","",,1711135746256
95,17,4639,blue,true,true,false,"[ss]","[as, as, as, as, as, as, as, am]",1,false,0,0,0,3,0,3,3,3,"crescendohawk24 (4641)","",,1711135023149
96,17,4639,blue,false,false,false,"[]","[sm, ss, ss, sm, ss, ss]",2,false,0,0,0,3,0,3,3,2,"crescendohawk24 (4641)","",,1711135732340
97,17,5788,blue,false,true,false,"[]","[ss, ss, ss, ss, ss, ss]",1,false,0,0,0,3,0,4,4,3,"crescendohawk24 (4641)","",,1711135732225
98,17,9140,blue,false,true,false,"[]","[as, as, as, as, as, as, as, ss]",1,false,14600,0,0,2,0,2,3,4,"crescendohawk24 (4641)","",,1711135736095
99,18,7121,red,true,true,false,"[ss, ss]","[ss, as, as, as]",0,false,0,0,0,3,2,2,2,3,"crescendohawk24 (4641)","",,1711136308159
100,18,8769,red,true,false,false,"[]","[ss, sa, sa, sa]",2,false,0,0,0,2,0,2,2,2,"crescendohawk24  (4641)","Couple time when it shot the note when forwards causing the hot to need to pick it up again",,1711136316532
101,18,8874,red,false,false,false,"[]","[as, as, as, as]",0,false,0,0,0,3,2,3,2,3,"cresendohawk24 (4641)","",,1711136323902
102,18,5417,blue,false,false,false,"[sm]","[as, sm, sm, as, as, am, as]",0,false,0,0,0,1,0,2,1,1,"crescendohawk24 (4641)","",,1711136321011
103,18,8732,blue,true,true,true,"[ss, sm, sm]","[ss, sm, sm, sm, ss, ss]",0,false,0,0,0,2,0,3,4,4,"crescendohawk24 (4641)","",,1711136316020
104,18,9156,blue,false,false,false,"[]","[as]",0,false,0,0,0,0,0,2,4,0,"crescendohawk24 (4641)","Driver seemed to be driving around randomly, but might’ve been trying to play defense.",,1711136331643
105,19,4332,red,false,false,false,"[]","[ss]",1,false,0,0,3000,2,3,1,2,1,"cresendohawk24 (4641)","",,1711136857322
106,19,6526,red,false,true,false,"[]","[ss, ss]",0,false,0,0,0,0,0,0,2,1,"crescendohawks24 (4641)","Shaky intake ",,1711136867599
107,19,9506,red,true,true,false,"[sm]","[sa, ss, ss]",1,false,0,0,0,2,0,2,2,1,"crescendohawk24  (4641)","Slow intake",,1711136859831
108,19,148,blue,true,true,true,"[sm, sm, ss]","[ss, ss, ss, as, am, am]",2,false,0,0,0,4,0,4,4,4,"crescendohawk24 (4641)","",,1711136878247
109,19,2714,blue,false,true,false,"[sm]","[ss, ss, ss, ss, ss, ss]",2,false,0,0,0,3,0,3,4,3,"crescendohawk24 (4641)","",,1711136852645
110,19,3676,blue,true,true,false,"[ss, ss]","[as, as, sm]",1,false,0,0,0,2,0,2,2,1,"crescendohawk24 (4641)","",,1711136848706
111,20,4717,red,false,false,false,"[]","[]",1,false,1700,0,2450,0,0,1,1,0,"crescendohawks24 (4641)","Bad intake and no swerve",,1711137366422
112,20,8858,red,true,true,false,"[ss, sm]","[sm]",2,false,0,0,0,2,2,2,2,2,"crescendohawk24  (4641)","I believe something went wrong with  intake which is why they switched to defense",,1711137347128
113,20,9034,red,true,true,false,"[sm, sm]","[ss, ss, ss, sm]",0,false,0,1000,0,3,1,3,1,3,"cresendohawk24 (4641)","",,1711137318597
114,20,5431,blue,true,false,false,"[sm]","[ss, ss, ss, ss, sm, sm, ss, ss, sm, sm, ss, sm, ss]",1,true,0,0,0,3,0,2,3,2,"crescendohawk24 (4641)","",,1711137319710
115,20,7321,blue,false,false,false,"[]","[sm]",1,false,20000,10450,21950,0,1,2,2,0,"crescendohawk24 (4641)","",,1711137310471
116,20,8598,blue,false,true,false,"[]","[sm, ss, ss, ss, ss]",2,false,0,0,0,3,0,2,4,3,"crescendohawk24 (4641)","",,1711137314103
117,21,7091,red,true,false,false,"[]","[]",2,false,0,0,3000,2,3,2,3,1,"cresendohawk24 (4641)","",,1711137779726
118,21,7119,red,false,true,false,"[]","[tm, tm, ss, ss]",2,false,0,0,0,2,1,2,2,1,"crescendohawks24 (4641)","",,1711137800547
119,21,9418,red,true,true,false,"[ss, ss, sm, sm]","[ss, ss, ss, ss, ss, ss]",2,false,0,0,0,3,0,3,3,3,"crescendohawk24  (4641)","No defense\n\nSomething went wrong with intake, began to struggle picking up notes",,1711137811007
120,21,5212,blue,false,true,false,"[]","[as, as]",1,false,0,0,0,2,0,3,4,3,"crescendohawk24 (4641)","",,1711137776158
121,21,5894,blue,true,true,false,"[ss]","[sm, sm, ss, ss, ss]",2,false,0,0,0,1,0,2,0,3,"crescendohawk24 (4641)","",,1711137757803
122,21,6357,blue,false,false,false,"[]","[am, am, ss, ss, ss]",0,false,0,0,0,0,0,0,0,0,"crescendohawk24 (4641)","",,1711137786032
123,22,3282,red,false,false,false,"[]","[]",0,false,0,0,0,1,1,2,2,0,"crescendohawk24  (4641)","Defense bot, didn't do much defending, attempted to push notes",,1711138448106
124,22,6672,red,false,true,false,"[ss, ss]","[as, sm, sa, ss, ss, ss, ss]",0,true,0,0,0,3,2,4,3,4,"cresendohawk24 (4641)","",,1711138424015
125,22,8816,red,true,false,false,"[]","[ss]",0,false,0,0,0,2,2,2,2,2,"crescendohawk24 (4641)","",,1711138394767
126,22,6171,blue,true,true,false,"[]","[]",1,false,0,0,0,0,0,0,4,0,"crescendohawk24 (4641)","Robot was initially moving, before getting stuck in the stage area.",,1711138397618
127,22,7506,blue,false,false,false,"[]","[]",0,false,0,19300,51350,2,2,2,3,0,"crescendohawk24 (4641)","",,1711138400163
128,23,4597,red,true,false,false,"[sm]","[sm, sm, sm]",2,false,0,0,0,0,0,0,0,0,"cresendohawk24 (4641)","Kept on missing and when their 10 seconds left went to go to the stage",,1711138978759
129,23,7121,red,true,true,false,"[]","[as, as, as, ss, ss]",1,false,0,0,0,3,2,2,4,3,"crescendohawk24 (4641)","",,1711138943115
130,23,8732,red,true,true,false,"[ss, ss]","[sm, ss]",0,false,0,0,0,0,0,2,2,2,"crescendohawk24  (4641)","Very out of control for most of the match after autonomous, not sure if it was a driver problem or bot problem ",,1711139019327
131,23,6901,blue,false,false,false,"[]","[sm, sm, sm, sm, sm, ss, ss, ss]",0,false,0,0,0,2,0,2,1,2,"crescendohawk24 (4641)","",,1711138944215
132,23,8019,blue,false,true,false,"[]","[ss, ss, ss, ss, ss, ss, ss, ss, ss, ss, sm]",1,false,0,0,0,4,0,3,4,4,"crescendohawk24 (4641)","Super team.",,1711138948225
133,23,8625,blue,false,false,false,"[sm]","[]",0,false,0,78950,0,0,0,0,0,0,"crescendohawk24 (4641)","",,1711138929565
134,24,4364,red,true,false,false,"[]","[]",1,false,0,55800,39400,2,1,2,0,0,"crescendohawk24 (4641)","",,1711139362787
135,24,8769,red,false,false,false,"[]","[ss]",2,false,0,0,3000,0,0,0,0,0,"cresendohawk24 (4641)","A note got stuck in its intake ",,1711139349995
136,24,9140,red,true,true,false,"[ss]","[sm, ss, ss, ss, ss, ss, ss, ss]",1,false,0,0,0,3,0,3,3,3,"crescendohawk24  (4641)","",,1711139375366
137,24,148,blue,true,true,true,"[sm]","[as, as, as, as]",2,false,0,0,0,3,0,4,4,4,"crescendohawk24 (4641)","",,1711139514320
138,24,4332,blue,false,false,false,"[]","[]",2,false,0,0,0,2,4,3,4,0,"crescendohawk24 (4641)","This is the team with the big bullseye (supposed to block people).",,1711139355952
139,24,4641,blue,true,true,false,"[sm, ss, ss, ss]","[ss, ss, ss, ss, sm, ss, ss, ss, sm]",2,true,15000,0,0,3,0,2,3,3,"crescendohawk24 (4641)","",,1711139418068
140,25,5788,red,true,false,false,"[ss]","[ss, ss, ss, ss, ss]",1,false,0,0,0,3,2,3,3,4,"cresendohawk24 (4641)","",,1711139888941
141,25,8827,red,true,true,false,"[]","[ss, ss, ss, ss, ss, ss, sm]",1,false,0,0,0,3,0,3,2,3,"crescendohawk24  (4641)","When it prepares shooter to shoot note it has to slow down or stop or else the momentum could potentially flip it",,1711139954974
142,25,9034,red,true,true,false,"[sm]","[ss, sm, ss]",0,false,0,58850,0,3,2,2,2,3,"crescendohawk24 (4641)","",,1711139867305
143,25,1296,blue,true,true,false,"[ss, ss, ss]","[as, as, as, as, sm, as]",0,false,0,0,0,2,0,0,0,0,"crescendohawk24 (4641)","Crash into a lot of object the robot also looked like it was twicthing",,1711139931745
144,25,5431,blue,true,true,false,"[ss]","[ss, sm, ss, sm, sm, sm, ss, ss, ss, sm, sm, ss]",0,false,0,0,0,2,0,2,3,4,"crescendohawk24 (4641)","driver kept trying to shoot from stage pole and kept missing every time",,1711139903337
145,25,9506,blue,false,true,false,"[ss]","[ss, ss, ss]",1,false,0,0,0,3,0,3,4,3,"crescendohawk24 (4641)","",,1711139875158
146,26,3676,red,false,false,false,"[ss]","[]",1,false,0,0,3000,0,0,0,0,0,"cresendohawk24 (4641)","Played defensive the entire time",,1711140493170
147,26,5894,red,false,true,false,"[]","[ss, ss, ss, ss, ss, ss]",1,false,0,0,0,3,2,2,3,3,"crescendohawk24 (4641)","",,1711140485781
148,26,9418,red,true,true,false,"[ss]","[ss, ss, sm, ss, ss, ss, ss, ss]",1,true,0,0,0,3,0,3,3,4,"crescendohawk24  (4641)","Cool little feature and it the lights, turn green when it acquires a note, and be either red or blue with no note",,1711140534933
149,26,2583,blue,false,false,false,"[sm]","[ss]",0,false,30000,28800,0,0,0,0,3,2,"crescendohawk24 (4641)","they intake by some dropping a note into the intake from the source zone",,1711140515478
150,26,4639,blue,false,true,false,"[]","[ss, ss, ss, ss, ss]",1,false,0,0,0,3,0,2,4,3,"crescendohawk24 (4641)","",,1711140497848
151,26,7091,blue,false,false,false,"[]","[]",0,true,0,140050,0,0,0,0,0,0,"crescendohawk24 (4641)","It was basically there for support",,1711140552348
152,27,5417,red,false,false,false,"[sm]","[ss, ss, as]",0,true,0,0,0,0,0,0,0,0,"cresendohawk24 (4641)","",,1711141139501
153,27,6171,red,true,false,false,"[]","[as, as]",0,false,0,0,0,1,0,1,0,1,"crescendohawk24  (4641)","Extremely shaky when driving, I constantly feared it would fall\n\nStopped moving during the match, either by choice because the bumpers fell of or because of technical issues",,1711141177043
154,27,8874,red,true,true,false,"[ss, ss]","[ss, ss, sm, ss, ss]",0,false,0,0,0,3,2,3,4,3,"crescendohawk24 (4641)","",,1711141122404
155,27,2714,blue,true,true,false,"[ss, ss]","[ss, am, as, ss, ss, ss, ss, ss, ss]",1,false,0,0,0,3,0,3,4,4,"crescendohawk24 (4641)","",,1711141159792
